Month,Revenue,Expenses
2022-01,52000,31000
2022-02,54000,32000
2022-03,53000,31500
2022-04,55000,33000
2022-05,58000,34000
2022-06,60000,35000
2022-07,59000,36000
2022-08,61000,35500
2022-09,62000,36500
2022-10,64000,37000
2022-11,66000,38000
2022-12,68000,39000
2023-01,70000,39500
2023-02,71000,40000
2023-03,72000,41000
2023-04,74000,42000
2023-05,76000,43000
2023-06,78000,44000
2023-07,80000,45000
2023-08,82000,46000
2023-09,84000,47000
2023-10,86000,48000
2023-11,88000,49000
2023-12,90000,50000
2024-01,92000,51000
2024-02,94000,52000
2024-03,96000,53000
2024-04,98000,54000
2024-05,100000,55000
2024-06,102000,56000
2024-07,104000,57000
2024-08,106000,58000
2024-09,108000,59000
2024-10,110000,60000
2024-11,112000,61000
2024-12,114000,62000
